Abilify		Alcohols
Alcohols		Abilify
Ketoprofen		Aspirin
Aspirin		Ketoprofen
Thiazide Diuretics		Diuretics
Thiazide Diuretics		saluretic
Thiazide Diuretics		Indocin
Diuretics		Thiazide Diuretics
Diuretics		saluretic
Diuretics		Indocin
saluretic		Thiazide Diuretics
saluretic		Diuretics
saluretic		Indocin
Indocin		Thiazide Diuretics
Indocin		Diuretics
Indocin		saluretic
Anti-Inflammatory Agents, Non-Steroidal		Warfarin
Anti-Inflammatory Agents, Non-Steroidal		Pharmaceutical Preparations
Warfarin		Anti-Inflammatory Agents, Non-Steroidal
Warfarin		Pharmaceutical Preparations
Pharmaceutical Preparations		Anti-Inflammatory Agents, Non-Steroidal
Pharmaceutical Preparations		Warfarin
Rifampin		Norethindrone
Rifampin		Progestins
Rifampin		Ethinyl Estradiol
Norethindrone		Rifampin
Norethindrone		Progestins
Norethindrone		Ethinyl Estradiol
Progestins		Rifampin
Progestins		Norethindrone
Progestins		Ethinyl Estradiol
Ethinyl Estradiol		Rifampin
Ethinyl Estradiol		Norethindrone
Ethinyl Estradiol		Progestins
Chlorpropamide		Barbiturates
Barbiturates		Chlorpropamide
Sympathomimetics		Doxapram
Sympathomimetics		Pharmaceutical Preparations
Sympathomimetics		Pressors
Doxapram		Sympathomimetics
Doxapram		Pharmaceutical Preparations
Doxapram		Pressors
Pharmaceutical Preparations		Sympathomimetics
Pharmaceutical Preparations		Doxapram
Pharmaceutical Preparations		Pressors
Pressors		Sympathomimetics
Pressors		Doxapram
Pressors		Pharmaceutical Preparations
Mefloquine		halofantrine
halofantrine		Mefloquine
Prinivil		Lithium
Lithium		Prinivil
Ciprofloxacin		Methotrexate
Methotrexate		Ciprofloxacin
Warfarin Sodium		Dicumarol
Warfarin Sodium		Heparin sodium
Dicumarol		Warfarin Sodium
Dicumarol		Heparin sodium
Heparin sodium		Warfarin Sodium
Heparin sodium		Dicumarol
Nevirapine		Contraceptive Agents
Nevirapine		Reverse Transcriptase Inhibitors
Contraceptive Agents		Nevirapine
Contraceptive Agents		Reverse Transcriptase Inhibitors
Reverse Transcriptase Inhibitors		Nevirapine
Reverse Transcriptase Inhibitors		Contraceptive Agents
Amiloride Hydrochloride		Angiotensin-Converting Enzyme Inhibitors
Angiotensin-Converting Enzyme Inhibitors		Amiloride Hydrochloride
Fluvoxamine Maleate		Theophylline
Theophylline		Fluvoxamine Maleate
Duragesic		Monoamine Oxidase Inhibitors
Duragesic		Analgesics, Opioid
Monoamine Oxidase Inhibitors		Duragesic
Monoamine Oxidase Inhibitors		Analgesics, Opioid
Analgesics, Opioid		Duragesic
Analgesics, Opioid		Monoamine Oxidase Inhibitors
Fluoxetine		Alprazolam
Fluoxetine		Toradol
Fluoxetine		Thiothixene
Fluoxetine		Psychotropic Drugs
Alprazolam		Fluoxetine
Alprazolam		Toradol
Alprazolam		Thiothixene
Alprazolam		Psychotropic Drugs
Toradol		Fluoxetine
Toradol		Alprazolam
Toradol		Thiothixene
Toradol		Psychotropic Drugs
Thiothixene		Fluoxetine
Thiothixene		Alprazolam
Thiothixene		Toradol
Thiothixene		Psychotropic Drugs
Psychotropic Drugs		Fluoxetine
Psychotropic Drugs		Alprazolam
Psychotropic Drugs		Toradol
Psychotropic Drugs		Thiothixene
Colestipol		atorvastatin
atorvastatin		Colestipol
Nalfon		coumarin
coumarin		Nalfon
Phenylbutazone		Sulfinpyrazone
Phenylbutazone		Aspirin
Phenylbutazone		Uricosuric Agents
Phenylbutazone		Probenecid
Sulfinpyrazone		Phenylbutazone
Sulfinpyrazone		Aspirin
Sulfinpyrazone		Uricosuric Agents
Sulfinpyrazone		Probenecid
Aspirin		Phenylbutazone
Aspirin		Sulfinpyrazone
Aspirin		Uricosuric Agents
Aspirin		Probenecid
Uricosuric Agents		Phenylbutazone
